Name,Address,Rating,Phone
Caffé Casa,"City stars, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",3.7,02 24802485
Indira Indian Restaurant,"علي راشد, Masaken Al Mohandesin, Heliopolis, Cairo Governorate 4451620",4.4,010 22221260
Al Khal Egyptian Restaurant,"Omar Ibn El-Khattab, Masaken Al Mohandesin, Heliopolis, Cairo Governorate 11737",4.8,02 24800009
Windows Restaurant,"Ali Rasheed, Masaken Al Mohandesin, Nasr City, Cairo Governorate 11766",4.9,02 24803000
Mori Sushi - City Stars,"Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",,012 28172717
Tamara,"Citystars, Masaken Al Mohandesin, Nasr City, Cairo Governorate 11771",4.2,012 00006066
PAUL Bakery & Restaurant,"City Stars Mall Omar Ibn El Khattab Street, Masaken Al Mohandesin, Heliopolis, Cairo Governorate",4.1,011 46677577
La Pizza Alforno لا بيتزا الفرنو,"Citystars, Cairo Governorate 11771",3.1,010 08544402
Ayadina - City Stars,"CityStars Mall, Masaken Al Mohandesin, Nasr City, Cairo Governorate",4.7,0216267
Fayruz Lebanese Restaurant,"Omar Ibn El-Khattab, Masaken Al Mohandesin, Nasr City, Cairo Governorate 11737",4.8,02 24800009
Italiano Restaurant,"مول سيتى ستارز, Makram Ebeid, Masaken Al Mohandesin, Nasr City, Cairo Governorate 11765",4.7,010 25282214
Sizzler Steak House - City Stars,"Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",4.5,010 24878222
Planet Africa,"سيتي ستارز مول, Omar Ibn El-Khattab, Masaken Al Mohandesin, Nasr City, Cairo Governorate 11765",4.2,02 24802949
Nişantaşi Citystars,"Inside Citystars, cairo, Cairo Governorate 11511, Nasr City, Cairo Governorate 11865",4.9,012 22533336
Shogun Japanese Restaurant,"st. - Citystars, Omar Ibn El-Khattab, Cairo Governorate 11737",4.6,02 24800100
Abou El Sid Restaurant,"City Stars Mall، Street Phase 2, Omar Ibn El-Khattab, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",3.7,02 24802231
Casper & Gambini's,"38FW+7R8 City Stars Mall, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",4.0,02 24802410
Bosphorus,"Stars Buildings - Capital 5, CityStars - Stars Buildings - Capital 5،, Kelani Mohammed Kelani, Masaken Al Mohandesin, Nasr City, Cairo Governorate",4.8,N/A
OSole Mio Citystars,"CityStars, Masaken Al Mohandesin, Nasr City, Cairo Governorate 4451620",4.5,010 67222233
Esplanade Cafe Restaurant,"InterContinental Cairo Citystars, Omar Ibn El-Khattab، Street, Heliopolis, Cairo Governorate 11737",4.9,02 24800009
